loan_id,Unnamed: 0,no_of_dependents,income_annum,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,residential_assets_value_clean,total_assets,education_graduate,education_not graduate,self_employed_no,self_employed_yes,income_bin_high,income_bin_low,income_bin_mid,loan_bin_high,loan_bin_low,loan_bin_mid,loan_amount,loan_amount_log
1,-1.7419203735109436,-0.2909824134576633,1.5839678113848752,0.2090798961851597,0.7336400166307143,-0.7715615909915314,2.919512026935489,0.8483905420336749,0.9375581664121948,-0.7903897406598971,0.9536936164059696,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,29900000,17.21336907180573
7,-1.7408750613480002,1.480728057105423,1.265503488109486,-1.1769504105920483,0.0934657489251025,2.3526821922594574,2.264234825056912,1.5548313703721828,-0.1975837050842109,2.364595227953888,2.0010976570365875,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,33000000,17.312018149733785
9,-1.7405266239603523,-1.4721227271663877,-1.5299055717522647,1.5951102029623678,0.7592469873389387,-0.9425401064928294,-1.0121511843359707,-1.3144052247257567,-1.3327255765806167,-0.9630506095890096,-1.401662733668853,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2200000,14.603968372873895
11,-1.7401781865727044,0.890157900251061,-0.7868221507763563,-1.5234579872863503,-0.7451625417692488,0.1144179893333758,-0.0994436531479532,-0.5862277555152948,-0.5657378255695318,0.1043074892455045,-0.3646806237907784,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,11200000,16.231424425551033
14,-1.739655530491233,-0.2909824134576633,1.4070431873429925,0.5555874728794618,0.0998674916021586,0.5340925273820162,2.685484454835997,0.6527607741860881,0.0171728651988928,0.5281114402533263,1.0891787161890347,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,31500000,17.265498135541893
16,-1.739307093103585,1.480728057105423,-0.1498935042255777,-0.1374276805091422,0.8360678994636122,-0.2586260444876377,-0.2866657108275466,0.1636863545671211,-0.1669041950437675,-0.2724071338725593,-0.1041323549771918,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10700000,16.185754392890075
17,-1.739132874409761,-0.2909824134576633,-1.6360603461773946,-1.1769504105920483,-0.0025603912307391,-0.9425401064928294,-1.1759704848056147,-1.4774300312654125,-1.3020460665401734,-0.9630506095890096,-1.5110930065705594,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1600000,14.285514812209817
18,-1.738958655715937,0.890157900251061,-0.7868221507763563,0.5555874728794618,0.7464435019848265,-0.6938440839454869,-0.5440960401369874,-0.8905407277226521,-0.1975837050842109,-0.7119075275103005,-0.8180346115264191,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,9400000,16.056220353623207
19,-1.7387844370221133,-0.2909824134576633,-0.8575920003931096,-0.1374276805091422,0.4647668241943573,-0.989170610720456,-1.199373242015564,-0.9448823299025372,-0.504378805488645,-1.0101399374787676,-1.1411144648552665,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10300000,16.14765455028724
20,-1.7386102183282892,1.480728057105423,0.4162652927084477,0.2090798961851597,-0.0729795606783564,0.4563750203359717,-0.3802767396673432,0.9353371055214912,0.2932884555628834,0.4496292271037297,0.5628712131855897,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,14600000,16.496532155171714
